social_soft_unjoint_eval_nloss
,,loss,loss_unjoint,ade,ade_unjoint,fde,fde_unjoint,social_0.1,social_disjoint_0.1,social_0.5,social_disjoint_0.5,social_1.0,social_disjoint_1.0,dynamic_speed,dynamic_speed_disjoint,dynamic_acceleration,dynamic_acceleration_disjoint,spatial_joint,spatial_unjoint
,little1,15.4602,5.3986,2.8012,1.4476,5.432,3.1377,0.52,0.06,2.44,1.4000000000000001,5.28,3.9600000000000004,0.0,0.0,0.0,0.0,5.89,4.760000000000001
,little2,15.707,5.8905,2.8846,1.6453,5.7881,3.5851,0.53,0.03,2.5100000000000002,1.23,5.779999999999999,3.81,0.0,0.0,0.0,0.0,1.96,1.91
,little3,13.6017,4.3965,2.9396,1.485,5.6963,3.1633,0.62,0.01,1.44,0.4,3.2399999999999998,1.81,0.0,0.0,0.0,0.0,1.78,2.25
,nexus5,6.5174,4.1658,2.5799,1.707,4.814,3.4427,0.05,0.0,0.15,0.11,0.74,0.49,0.0,0.0,0.0,0.0,15.49,16.68
,nexus6,3.8094,1.5626,1.7861,1.0449,3.3194,2.1196,0.54,0.0,1.03,0.13,2.21,0.5700000000000001,0.0,0.0,0.0,0.0,60.11,63.019999999999996
,quad0,11.9148,5.7475,3.2019,1.8943,5.9375,3.912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.33999999999999997
,quad1,11.1831,3.2958,3.2486,1.298,5.9809,2.5846,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
,quad2,20.3407,5.2411,3.0176,1.7603,5.7231,4.1538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.139999999999999,10.41
,quad3,20.4146,7.3232,3.992,2.0995,7.4184,4.7679,0.0,0.0,1.51,0.7000000000000001,1.6199999999999999,1.13,0.0,0.0,0.0,0.0,10.72,9.24

